site_code,latitude,longitude,year,parameter,val_mean
1310,30.497478,-87.880258,2019,PM2.5 - Local Conditions,7.775805999999998
1271,33.284928,-85.803608,2019,PM2.5 - Local Conditions,7.469841000000001
1331002,34.762619,-87.638097,2019,PM2.5 - Local Conditions,7.120313
1491003,34.288567,-85.969858,2019,PM2.5 - Local Conditions,7.687691999999998
15510,33.991494,-85.99264699999998,2019,PM2.5 - Local Conditions,8.180303
1693,31.224783000000002,-85.390789,2019,PM2.5 - Local Conditions,8.3
17323,33.553056,-86.815,2019,Sample Volume,24.0
17323,33.553056,-86.815,2019,Average Ambient Temperature,13.255
17323,33.553056,-86.815,2019,Average Ambient Pressure,747.15
17323,33.553056,-86.815,2019,Sample Flow Rate CV - Teflon Filter,0.7723399999999999
17323,33.553056,-86.815,2019,Sample Flow Rate CV - Nylon Filter,0.710638
17323,33.553056,-86.815,2019,Sample Flow Rate CV - Quartz Filter,0.10526300000000001
17323,33.553056,-86.815,2019,Sample Volume - Teflon Filter,9.697872
17323,33.553056,-86.815,2019,Sample Volume - Nylon Filter,9.7
17323,33.553056,-86.815,2019,Sample Volume - Quartz Filter,31.660526
17323,33.553056,-86.815,2019,Average Ambient Temperature for URG3000N,20.068421
17323,33.553056,-86.815,2019,Average Ambient Pressure for URG3000N,747.210526
17323,33.553056,-86.815,2019,PM10 Total 0-10um STP,21.324324
17323,33.553056,-86.815,2019,PM2.5 - Local Conditions,9.185
17323,33.553056,-86.815,2019,Antimony PM2.5 LC,0.0032340000000000003
17323,33.553056,-86.815,2019,Arsenic PM2.5 LC,0.0
17323,33.553056,-86.815,2019,Aluminum PM2.5 LC,0.039298
17323,33.553056,-86.815,2019,Barium PM2.5 LC,0.008532
17323,33.553056,-86.815,2019,Bromine PM2.5 LC,0.0017230000000000001
17323,33.553056,-86.815,2019,Cadmium PM2.5 LC,0.002447
17323,33.553056,-86.815,2019,Calcium PM2.5 LC,0.09657400000000001
17323,33.553056,-86.815,2019,Chromium PM2.5 LC,0.003213
17323,33.553056,-86.815,2019,Cobalt PM2.5 LC,-0.000149
17323,33.553056,-86.815,2019,Copper PM2.5 LC,0.004149
17323,33.553056,-86.815,2019,Chlorine PM2.5 LC,0.014149
17323,33.553056,-86.815,2019,Cerium PM2.5 LC,0.007277
17323,33.553056,-86.815,2019,Cesium PM2.5 LC,0.008447
17323,33.553056,-86.815,2019,Iron PM2.5 LC,0.12259600000000001
17323,33.553056,-86.815,2019,Lead PM2.5 LC,0.0057020000000000005
17323,33.553056,-86.815,2019,Indium PM2.5 LC,0.002106
17323,33.553056,-86.815,2019,Manganese PM2.5 LC,0.007298000000000001
17323,33.553056,-86.815,2019,Nickel PM2.5 LC,0.001234
17323,33.553056,-86.815,2019,Magnesium PM2.5 LC,0.032617
17323,33.553056,-86.815,2019,Phosphorus PM2.5 LC,0.000277
17323,33.553056,-86.815,2019,Selenium PM2.5 LC,0.000234
17323,33.553056,-86.815,2019,Tin PM2.5 LC,0.0032770000000000004
17323,33.553056,-86.815,2019,Titanium PM2.5 LC,0.004234
17323,33.553056,-86.815,2019,Vanadium PM2.5 LC,0.000319
17323,33.553056,-86.815,2019,Silicon PM2.5 LC,0.092362
17323,33.553056,-86.815,2019,Silver PM2.5 LC,0.002106
17323,33.553056,-86.815,2019,Zinc PM2.5 LC,0.040319
17323,33.553056,-86.815,2019,Strontium PM2.5 LC,0.000723
17323,33.553056,-86.815,2019,Sulfur PM2.5 LC,0.517
17323,33.553056,-86.815,2019,Rubidium PM2.5 LC,0.000447
17323,33.553056,-86.815,2019,Potassium PM2.5 LC,0.059426
17323,33.553056,-86.815,2019,Sodium PM2.5 LC,0.06644699999999999
17323,33.553056,-86.815,2019,Zirconium PM2.5 LC,0.002213
17323,33.553056,-86.815,2019,Chloride PM2.5 LC,0.186747
