station_name,latitude,longitude,station_descriptive_name,red,blue,g,brn,p,pexp,y,pnk,o
18th,41.857908,-87.669147,18th (Pink Line),False,False,False,False,False,False,False,True,False
35th/Archer,41.829353,-87.680622,35th/Archer (Orange Line),False,False,False,False,False,False,False,False,True
35th-Bronzeville-IIT,41.831677,-87.625826,35th-Bronzeville-IIT (Green Line),False,False,True,False,False,False,False,False,False
43rd,41.816462,-87.619021,43rd (Green Line),False,False,True,False,False,False,False,False,False
47th,41.809209,-87.618826,47th (Green Line),False,False,True,False,False,False,False,False,False
47th,41.810318,-87.63094,47th (Red Line),True,False,False,False,False,False,False,False,False
51st,41.80209,-87.618487,51st (Green Line),False,False,True,False,False,False,False,False,False
54th/Cermak,41.85177331,-87.75669201,54th/Cermak (Pink Line),False,False,False,False,False,False,False,True,False
63rd,41.780536,-87.630952,63rd (Red Line),True,False,False,False,False,False,False,False,False
69th,41.768367,-87.625724,69th (Red Line),True,False,False,False,False,False,False,False,False
79th,41.750419,-87.625112,79th (Red Line),True,False,False,False,False,False,False,False,False
87th,41.735372,-87.624717,87th (Red Line),True,False,False,False,False,False,False,False,False
95th/Dan Ryan,41.722377,-87.624342,95th/Dan Ryan (Red Line),True,False,False,False,False,False,False,False,False
Adams/Wabash,41.879507,-87.626037,"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",False,False,True,False,False,True,False,True,True
Addison,41.947028,-87.674642,Addison (Brown Line),False,False,False,True,False,False,False,False,False
Addison,41.947428,-87.653626,Addison (Red Line),True,False,False,False,False,False,False,False,False
Addison,41.94738,-87.71906,Addison (Blue Line),False,True,False,False,False,False,False,False,False
Argyle,41.973453,-87.65853,Argyle (Red Line),True,False,False,False,False,False,False,False,False
Armitage,41.918217,-87.652644,Armitage (Brown & Purple Lines),False,False,False,True,False,True,False,False,False
Ashland,41.839234,-87.665317,Ashland (Orange Line),False,False,False,False,False,False,False,False,True
Ashland,41.885269,-87.666969,Ashland (Green & Pink Lines),False,False,True,False,False,False,False,True,False
Ashland/63rd,41.77886,-87.663766,Ashland/63rd (Green Line),False,False,True,False,False,False,False,False,False
Austin,41.870851,-87.776812,Austin (Blue Line),False,True,False,False,False,False,False,False,False
Austin,41.887293,-87.774135,Austin (Green Line),False,False,True,False,False,False,False,False,False
Belmont,41.938132,-87.712359,Belmont (Blue Line),False,True,False,False,False,False,False,False,False
Belmont,41.939751,-87.65338,"Belmont (Red, Brown & Purple Lines)",True,False,False,False,False,False,False,False,False
Berwyn,41.977984,-87.658668,Berwyn (Red Line),True,False,False,False,False,False,False,False,False
Bryn Mawr,41.983504,-87.65884,Bryn Mawr (Red Line),True,False,False,False,False,False,False,False,False
California,41.854109,-87.694774,California (Pink Line),False,False,False,False,False,False,False,True,False
California,41.88422,-87.696234,California (Green Line),False,False,True,False,False,False,False,False,False
California,41.921939,-87.69689,California (Blue Line),False,True,False,False,False,False,False,False,False
Central,41.887389,-87.76565,Central (Green Line),False,False,True,False,False,False,False,False,False
Central,42.063987,-87.685617,Central (Purple Line),False,False,False,False,True,True,False,False,False
Central Park,41.853839,-87.714842,Central Park (Pink Line),False,False,False,False,False,False,False,True,False
Cermak-Chinatown,41.853206,-87.630968,Cermak-Chinatown (Red Line),True,False,False,False,False,False,False,False,False
Cermak-McCormick Place,41.853115,-87.626402,Cermak-McCormick Place (Green Line),False,False,True,False,False,False,False,False,False
Chicago,41.896075,-87.655214,Chicago (Blue Line),False,True,False,False,False,False,False,False,False
Chicago,41.89681,-87.635924,Chicago (Brown & Purple Lines),False,False,False,True,False,True,False,False,False
Chicago,41.896671,-87.628176,Chicago (Red Line),True,False,False,False,False,False,False,False,False
Cicero,41.85182,-87.745336,Cicero (Pink Line),False,False,False,False,False,False,False,True,False
Cicero,41.871574,-87.745154,Cicero (Blue Line),False,True,False,False,False,False,False,False,False
Cicero,41.886519,-87.744698,Cicero (Green Line),False,False,True,False,False,False,False,False,False
Clark/Division,41.90392,-87.631412,Clark/Division (Red Line),True,False,False,False,False,False,False,False,False
Clark/Lake,41.885737,-87.630886,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)",False,False,True,False,False,True,False,True,True
Clinton,41.875539,-87.640984,Clinton (Blue Line),False,True,False,False,False,False,False,False,False
Clinton,41.885678,-87.641782,Clinton (Green & Pink Lines),False,False,True,False,False,False,False,True,False
Conservatory,41.884904,-87.716523,Conservatory (Green Line),False,False,True,False,False,False,False,False,False
Cottage Grove,41.780309,-87.605857,Cottage Grove (Green Line),False,False,True,False,False,False,False,False,False
Cumberland,41.984246,-87.838028,Cumberland (Blue Line),False,True,False,False,False,False,False,False,False
Damen,41.854517,-87.675975,Damen (Pink Line),False,False,False,False,False,False,False,True,False
Damen,41.909744,-87.677437,Damen (Blue Line),False,True,False,False,False,False,False,False,False
